# x z lx ly lz
3 19 -0.010334 0.0915209 -0.0698119
3 19.5 -0.0108953 0.0878776 -0.0765299
3 20 -0.0110371 0.0839965 -0.0842755
3 20.5 -0.0111442 0.0795167 -0.0923305
3 21 -0.0108572 0.075294 -0.100964
3 21.5 -0.0113526 0.0714299 -0.110427
3 22 -0.0118813 0.0677636 -0.120663
3 22.5 -0.011585 0.0639086 -0.132222
3 23 -0.0120209 0.0592113 -0.144972
3 23.5 -0.0124455 0.0549738 -0.158707
3 24 -0.0114248 0.0514176 -0.173344
3 24.5 -0.0115919 0.0461109 -0.189636
3 25 -0.0109299 0.0408618 -0.207087
3 25.5 -0.0109396 0.037685 -0.225547
3 26 -0.0103396 0.0346188 -0.244913
3 26.5 -0.0106394 0.0285574 -0.265571
3 27 -0.0110157 0.0223694 -0.289293
3 27.5 -0.0112689 0.0186403 -0.313693
3 28 -0.00942769 0.0140755 -0.339553
3 28.5 -0.00806206 0.00932929 -0.367982
3 29 -0.00790916 0.00429236 -0.399536
3 29.5 -0.00762248 -0.000667596 -0.433177
3 30 -0.00720651 0.00180894 -0.451626
3.5 0 0.000925491 0.187592 -9.85063e-05
3.5 0.5 0.00101716 0.187869 -0.000373723
3.5 1 0.00111527 0.188218 -0.000652787
3.5 1.5 0.00108011 0.187914 -0.00109608
3.5 2 0.00082505 0.187315 -0.00152255
3.5 2.5 0.00050832 0.186501 -0.00208724
3.5 3 0.000173569 0.185746 -0.00260329
3.5 3.5 6.69819e-05 0.185063 -0.00330932
3.5 4 0.000313417 0.184261 -0.00372095
3.5 4.5 -4.01194e-05 0.183443 -0.00419481
3.5 5 -0.000382972 0.182567 -0.00471274
3.5 5.5 -0.000482205 0.181587 -0.00540911
3.5 6 -0.000803802 0.180149 -0.00613779
3.5 6.5 -0.00110009 0.178515 -0.00695202
3.5 7 -0.00133372 0.176771 -0.00751263
3.5 7.5 -0.00170378 0.175323 -0.00804171
3.5 8 -0.00199737 0.173696 -0.00889082
3.5 8.5 -0.00216411 0.172048 -0.00995099
3.5 9 -0.00264168 0.169918 -0.0109313
3.5 9.5 -0.00290901 0.167725 -0.0120476
3.5 10 -0.00335692 0.165415 -0.0132068
3.5 10.5 -0.00389983 0.1632 -0.0144278
3.5 11 -0.00431034 0.160756 -0.015706
3.5 11.5 -0.00480963 0.158141 -0.0172538
3.5 12 -0.00541223 0.155706 -0.0189874
3.5 12.5 -0.00577708 0.153076 -0.0209463
3.5 13 -0.00631561 0.14994 -0.0229535
3.5 13.5 -0.00672335 0.146432 -0.0251582
3.5 14 -0.00707134 0.143587 -0.0275467
3.5 14.5 -0.00766003 0.140644 -0.0302377
3.5 15 -0.00811218 0.13728 -0.0333336
3.5 15.5 -0.00868783 0.134027 -0.0367566
3.5 16 -0.00919948 0.12995 -0.0403474
3.5 16.5 -0.0090794 0.12631 -0.0441947
3.5 17 -0.00990054 0.122583 -0.0484561
3.5 17.5 -0.0108233 0.118484 -0.0531344
3.5 18 -0.0111403 0.114842 -0.0583342
3.5 18.5 -0.011284 0.111035 -0.0641017
3.5 19 -0.0118108 0.106991 -0.0701851
3.5 19.5 -0.0125546 0.102744 -0.076863
3.5 20 -0.0132854 0.0984282 -0.0844826
3.5 20.5 -0.0130508 0.0935564 -0.092795
3.5 21 -0.0127106 0.0886829 -0.101816
3.5 21.5 -0.0132936 0.0843367 -0.110735
3.5 22 -0.0140407 0.0799381 -0.120359
3.5 22.5 -0.0140225 0.0750315 -0.131683
3.5 23 -0.0138491 0.0690824 -0.144392
3.5 23.5 -0.0140568 0.064452 -0.158532
3.5 24 -0.0135255 0.059958 -0.173038
3.5 24.5 -0.0141857 0.0548764 -0.188205
3.5 25 -0.0126861 0.0487928 -0.205141
3.5 25.5 -0.013638 0.0431532 -0.224309
3.5 26 -0.0129524 0.0392777 -0.243577
3.5 26.5 -0.0134567 0.0328928 -0.265634
3.5 27 -0.0122687 0.0270238 -0.287674
3.5 27.5 -0.0125466 0.0219163 -0.312938
3.5 28 -0.0110754 0.0175878 -0.338169
3.5 28.5 -0.00942151 0.0116711 -0.367265
3.5 29 -0.00881172 0.00563295 -0.398403
3.5 29.5 -0.00801177 7.48557e-05 -0.428959
3.5 30 -0.00743733 -0.00185188 -0.448043
4 0 0.000853006 0.214919 -0.000101531
4 0.5 0.00095013 0.215234 -0.000400065
4 1 0.00128497 0.215119 -0.000721148
4 1.5 0.00123962 0.214787 -0.00124619
4 2 0.000852288 0.214242 -0.00177054
4 2.5 0.000446653 0.213433 -0.00231341
4 3 2.57844e-05 0.212421 -0.00301427
4 3.5 -0.000122272 0.211598 -0.00341628
4 4 8.60267e-05 0.210852 -0.00377855
4 4.5 -0.000152255 0.209902 -0.0043261
4 5 -0.000523131 0.208886 -0.00482566
4 5.5 -0.000660956 0.207731 -0.00549676
4 6 -0.000976275 0.206042 -0.00631646
4 6.5 -0.00131756 0.204333 -0.00714271
4 7 -0.00167048 0.202555 -0.00774814
4 7.5 -0.00206833 0.200529 -0.00833954
4 8 -0.00237444 0.198724 -0.00931408
4 8.5 -0.00265289 0.196716 -0.0103482
4 9 -0.00305214 0.194616 -0.0113794
4 9.5 -0.00340752 0.192073 -0.0124322
4 10 -0.00398194 0.189421 -0.0135166
4 10.5 -0.00449301 0.186506 -0.0148244
4 11 -0.00493261 0.183732 -0.0163525
4 11.5 -0.00561303 0.18106 -0.0178802
4 12 -0.00618379 0.178288 -0.0195159
4 12.5 -0.00663169 0.175233 -0.021302
4 13 -0.00724762 0.171503 -0.0232964
4 13.5 -0.00768891 0.16789 -0.0254808
4 14 -0.00804905 0.164252 -0.0278405
4 14.5 -0.00859279 0.1612 -0.0305458
4 15 -0.00924222 0.157406 -0.0336378
